#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
1B|5R536|32.748402|-100.535698|634.7|207536|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R539|32.748901|-100.535797|637.0|207539|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R542|32.7495|-100.536003|635.5|207542|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R545|32.750099|-100.536201|632.1|207545|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R548|32.750702|-100.536301|628.8|207548|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R551|32.751301|-100.536499|631.9|207551|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R554|32.7519|-100.536697|627.6|207554|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R557|32.752499|-100.536797|630.9|207557|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R560|32.753101|-100.537003|631.2|207560|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R563|32.753601|-100.537201|631.6|207563|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R566|32.7542|-100.5373|630.6|207566|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R569|32.754902|-100.537498|629.7|207569|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R572|32.755402|-100.537697|623.7|207572|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R575|32.756001|-100.537804|625.6|207575|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R578|32.756599|-100.538002|625.2|207578|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R581|32.757198|-100.5382|628.2|207581|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R584|32.757801|-100.538399|622.7|207584|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R587|32.758301|-100.538498|621.3|207587|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R590|32.7589|-100.538696|625.5|207590|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R593|32.759499|-100.538902|623.9|207593|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R596|32.760101|-100.539001|622.4|207596|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R599|32.7607|-100.5392|620.9|207599|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R602|32.761299|-100.539398|621.2|207602|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R605|32.761902|-100.539497|613.7|207605|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R608|32.762501|-100.539703|614.7|207608|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R611|32.7631|-100.539803|614.1|207611|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5R614|32.763599|-100.540001|614.9|207614|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
